done,split,idx_in_split,overlay_path,image_path,mask_path,checker,check_date,notes
"","training","1","data/CLP_dataset/clp2k/annotations_overlay/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_1.jpg","data/CLP_dataset/clp2k/images/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_1.jpg","data/CLP_dataset/clp2k/annotations/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_1.png","","",""
"","training","2","data/CLP_dataset/clp2k/annotations_overlay/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_2.jpg","data/CLP_dataset/clp2k/images/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_2.jpg","data/CLP_dataset/clp2k/annotations/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_2.png","","",""
"","training","3","data/CLP_dataset/clp2k/annotations_overlay/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_3.jpg","data/CLP_dataset/clp2k/images/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_3.jpg","data/CLP_dataset/clp2k/annotations/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_3.png","","",""
"","training","4","data/CLP_dataset/clp2k/annotations_overlay/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_5.jpg","data/CLP_dataset/clp2k/images/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_5.jpg","data/CLP_dataset/clp2k/annotations/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_5.png","","",""
"","training","5","data/CLP_dataset/clp2k/annotations_overlay/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_6.jpg","data/CLP_dataset/clp2k/images/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_6.jpg","data/CLP_dataset/clp2k/annotations/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_6.png","","",""
"","training","6","data/CLP_dataset/clp2k/annotations_overlay/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_7.jpg","data/CLP_dataset/clp2k/images/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_7.jpg","data/CLP_dataset/clp2k/annotations/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_7.png","","",""
"","training","7","data/CLP_dataset/clp2k/annotations_overlay/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_8.jpg","data/CLP_dataset/clp2k/images/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_8.jpg","data/CLP_dataset/clp2k/annotations/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_8.png","","",""
"","training","8","data/CLP_dataset/clp2k/annotations_overlay/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_9.jpg","data/CLP_dataset/clp2k/images/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_9.jpg","data/CLP_dataset/clp2k/annotations/training/bai-xueshi_contending-greenery-among-thousands-of-peaks_9.png","","",""
"","training","9","data/CLP_dataset/clp2k/annotations_overlay/training/dai-jin_returning-late-from-a-spring-outing_5.jpg","data/CLP_dataset/clp2k/images/training/dai-jin_returning-late-from-a-spring-outing_5.jpg","data/CLP_dataset/clp2k/annotations/training/dai-jin_returning-late-from-a-spring-outing_5.png","","",""
"","training","10","data/CLP_dataset/clp2k/annotations_overlay/training/dai-jin_returning-late-from-a-spring-outing_6.jpg","data/CLP_dataset/clp2k/images/training/dai-jin_returning-late-from-a-spring-outing_6.jpg","data/CLP_dataset/clp2k/annotations/training/dai-jin_returning-late-from-a-spring-outing_6.png","","",""
"","training","11","data/CLP_dataset/clp2k/annotations_overlay/training/dong-yuan_xiao-xiang_2.jpg","data/CLP_dataset/clp2k/images/training/dong-yuan_xiao-xiang_2.jpg","data/CLP_dataset/clp2k/annotations/training/dong-yuan_xiao-xiang_2.png","","",""
"","training","12","data/CLP_dataset/clp2k/annotations_overlay/training/dong-yuan_xiao-xiang_3.jpg","data/CLP_dataset/clp2k/images/training/dong-yuan_xiao-xiang_3.jpg","data/CLP_dataset/clp2k/annotations/training/dong-yuan_xiao-xiang_3.png","","",""
"","training","13","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_17.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_17.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_17.png","","",""
"","training","14","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_20.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_20.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_20.png","","",""
"","training","15","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_22.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_22.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_22.png","","",""
"","training","16","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_23.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_23.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_23.png","","",""
"","training","17","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_24.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_24.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_24.png","","",""
"","training","18","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_25.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_25.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_25.png","","",""
"","training","19","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_27.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_27.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_27.png","","",""
"","training","20","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_31.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_31.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_31.png","","",""
"","training","21","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_35.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_35.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_35.png","","",""
"","training","22","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_36.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_36.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_36.png","","",""
"","training","23","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_37.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_37.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_37.png","","",""
"","training","24","data/CLP_dataset/clp2k/annotations_overlay/training/fankuan_yanlanqiuxiaotu_44.jpg","data/CLP_dataset/clp2k/images/training/fankuan_yanlanqiuxiaotu_44.jpg","data/CLP_dataset/clp2k/annotations/training/fankuan_yanlanqiuxiaotu_44.png","","",""
